rowname,direction,time
Note_254,Left,97.71
Note_255,Up,97.96
Note_256,Left,98.21
Note_257,Right,98.46
Note_258,Left,98.96
Note_259,Right,99.21
Note_260,Up,99.46
Note_261,Right,99.71
Note_262,Right,99.96
Note_263,Left,100.21
Note_264,Right,100.46
Note_265,Down,100.71
Note_266,Up,100.96
Note_267,Down,101.46
Note_268,Left,101.71
Note_269,Down,101.96
Note_270,Up,102.46
Note_271,Left,102.71
Note_272,Left,102.96
Note_273,Left,103.46
Note_274,Up,103.71
Note_275,Up,103.96
Note_276,Left,104.46
Note_277,Right,104.96
Note_278,Up,105.21
Note_279,Down,105.46
Note_280,Down,105.96
Note_281,Down,106.21
Note_282,Right,106.46
Note_283,Left,106.96
Note_284,Right,107.46
Note_285,Right,107.96
Note_286,Left,108.46
Note_287,Left,108.71
Note_288,Up,108.96
Note_289,Up,109.46
Note_290,Down,109.96
Note_291,Down,110.46
Note_292,Down,110.96
Note_293,Down,111.46
Note_294,Right,111.96
Note_295,Left,112.21
Note_296,Left,112.46
Note_297,Left,112.71
Note_298,Up,112.96
Note_299,Right,113.46
Note_300,Down,113.96
Note_301,Down,114.46
Note_302,Down,114.96
Note_303,Right,115.21
Note_304,Down,115.46
Note_305,Down,115.71
Note_306,Down,115.96
Note_307,Left,116.46
Note_308,Right,116.96
Note_309,Right,117.21
Note_310,Down,117.46
Note_311,Left,117.96
Note_312,Up,118.46
Note_313,Right,118.96
Note_314,Right,119.21
Note_315,Up,119.46
Note_316,Down,119.71
Note_317,Left,119.96
Note_318,Down,120.46
Note_319,Up,120.96
Note_320,Up,121.21
Note_321,Left,121.46
Note_322,Down,121.96
Note_323,Right,122.46
Note_324,Down,122.71
Note_325,Up,122.96
Note_326,Up,123.46
Note_327,Right,123.96
Note_328,Down,124.46
Note_329,Right,124.71
Note_330,Right,124.96
Note_331,Up,125.46
Note_332,Down,125.96
Note_333,Up,126.46
Note_334,Down,126.96
Note_335,Right,127.21
Note_336,Up,127.46
Note_337,Left,127.96
Note_338,Up,128.46
Note_339,Right,128.96
Note_340,Up,129.46
Note_341,Left,129.96
Note_342,Down,130.21
Note_343,Down,130.46
Note_344,Up,130.96
Note_345,Up,131.46
Note_346,Right,131.96
Note_347,Up,132.21
Note_348,Right,132.46
Note_349,Right,132.96
Note_350,Left,133.46
Note_351,Left,133.96
Note_352,Right,134.46
Note_353,Down,134.71
Note_354,Down,134.96
Note_355,Down,135.46
Note_356,Up,135.96
Note_357,Left,136.21
Note_358,Down,136.46
Note_359,Left,136.96
Note_360,Left,137.46
Note_361,Down,137.96
Note_362,Down,138.46
Note_363,Up,138.71
Note_364,Right,138.96
Note_365,Left,139.46
Note_366,Right,139.96
Note_367,Up,140.46
Note_368,Left,140.96
Note_369,Down,141.46
Note_370,Down,141.71
Note_371,Down,141.96
Note_372,Left,142.46
Note_373,Left,142.96
Note_374,Left,143.46
Note_375,Right,143.71
Note_376,Right,143.96
Note_377,Up,144.46
Note_378,Right,144.96
Note_379,Left,145.21
Note_380,Left,145.46
Note_381,Up,145.96
Note_382,Down,146.21
Note_383,Right,146.46
Note_384,Up,146.71
Note_385,Up,146.96
Note_386,Up,147.46
Note_387,Up,147.96
Note_388,Right,148.46
Note_389,Up,148.96
Note_390,Left,149.21
Note_391,Right,149.46
Note_392,Left,149.71
